time,energy,event_type,wattmin,epower
0.000000,0.000050,s,125000.000000,125000.000000
453.000000,57470330.357193,s,125000.000000,126866.071429
530.188485,67266720.712056,e,125000.000000,126915.178571
1008.000000,127884790.505996,s,125000.000000,126866.071429
1116.773328,141692981.838333,e,125000.000000,126944.642857
2345.000000,297513274.481803,s,125000.000000,126866.071429
2345.000000,297513274.481816,s,125000.000000,126878.254545
2345.000000,297513274.481828,s,125000.000000,126971.345455
2382.463648,302352239.792076,e,125000.000000,129164.285714
2513.124749,319226421.051920,e,125000.000000,129144.642857
3183.000000,405671429.769885,s,125000.000000,129046.428571
3200.002686,407865899.686740,e,125000.000000,129066.071429
3527.127490,450080187.289279,e,125000.000000,129046.428571
4401.619831,561298435.527978,e,125000.000000,127180.357143
7029.000000,889720956.680284,s,125000.000000,125000.000000
7029.000000,889720956.680296,s,125000.000000,125207.272727
7045.533385,891797535.051034,e,125000.000000,125599.107143
7945.992433,1004885543.751807,e,125000.000000,125589.285714
7951.000000,1005511489.602730,s,125000.000000,125000.000000
7951.000000,1005511489.602743,s,125000.000000,124683.636364
7951.000000,1005511489.602755,s,125000.000000,124753.454545
7978.054140,1008899899.889430,e,125000.000000,125245.535714
8063.130234,1019551958.586815,e,125000.000000,125206.250000
8188.776235,1035276219.002956,e,125000.000000,125147.321429
9778.000000,1233929189.653063,s,125000.000000,125000.000000
9778.000000,1233929189.653076,s,125000.000000,125812.363636
9778.000000,1233929189.653088,s,125000.000000,125914.763636
9863.841076,1244709909.050055,e,125000.000000,125589.285714
10066.593919,1270151589.315708,e,125000.000000,125481.250000
10171.232345,1283266334.300989,e,125000.000000,125333.928571
14499.000000,1824237291.138806,s,125000.000000,125000.000000
14606.484651,1837684484.723589,e,125000.000000,125108.035714
20370.000000,2558123903.319876,s,125000.000000,125000.000000
20612.000000,2588870651.534161,s,125000.000000,127052.678571
20863.100503,2620857492.680072,e,125000.000000,127386.607143
21114.000000,2652734945.809314,s,125000.000000,127052.678571
21188.059546,2662150228.445778,e,125000.000000,127131.250000
22171.000000,2787035446.023629,s,125000.000000,127052.678571
22222.215021,2793545469.632807,e,125000.000000,127111.607143
23708.231330,2982347822.083854,e,125000.000000,127052.678571
24283.000000,3054193905.861607,s,125000.000000,125000.000000
24283.000000,3054193905.861619,s,125000.000000,123477.333333
24334.233001,3060614635.990904,e,125000.000000,125324.107143
24640.534934,3098971569.068794,e,125000.000000,125225.892857
25682.000000,3229154702.262095,s,125000.000000,125000.000000
25975.187422,3265857840.907285,e,125000.000000,125186.607143
26934.000000,3385709413.129278,s,125000.000000,125000.000000
26997.387281,3393639048.729862,e,125000.000000,125098.214286
27268.000000,3427465638.665757,s,125000.000000,125000.000000
27554.798061,3463357647.741322,e,125000.000000,125147.321429
27720.000000,3484007890.165757,s,125000.000000,125000.000000
28144.155792,3537189830.929974,e,125000.000000,125383.035714
28397.000000,3568795356.982353,s,125000.000000,125000.000000
28602.772096,3594567393.324222,e,125000.000000,125245.535714
29268.000000,3677720881.380813,s,125000.000000,125000.000000
29268.000000,3677720881.380826,s,125000.000000,123316.148148
29268.000000,3677720881.380838,s,125000.000000,123354.074074
29296.179882,3681259972.583438,e,125000.000000,125589.285714
29377.280592,3691442166.742161,e,125000.000000,125550.000000
29592.000000,3718387535.339604,s,125000.000000,125491.071429
29817.000000,3746660593.375319,s,125000.000000,125658.035714
29817.000000,3746660593.375331,s,125000.000000,124065.185185
29829.610258,3748247526.781913,e,125000.000000,125844.642857
29842.147493,3749825147.497663,e,125000.000000,125834.821429
29901.704201,3757290208.607460,e,125000.000000,125343.750000
29931.468908,3761016058.980291,e,125000.000000,125176.785714
30152.000000,3788582445.485338,s,125000.000000,125000.000000
30188.069044,3793093555.712237,e,125000.000000,125068.750000
30701.000000,3857209925.232104,s,125000.000000,125000.000000
30701.000000,3857209925.232116,s,125000.000000,123392.000000
30773.508848,3866302016.807618,e,125000.000000,125392.857143
31100.741808,3907289698.119530,e,125000.000000,125255.357143
32978.000000,4141946972.124617,s,125000.000000,125000.000000
32978.000000,4141946972.124630,s,125000.000000,123574.857143
33074.775548,4154067677.530333,e,125000.000000,125245.535714
33125.000000,4160353626.391846,s,125000.000000,125157.142857
33287.812639,4180757975.030224,e,125000.000000,125324.107143
33291.885825,4181267803.360944,e,125000.000000,125166.964286
33303.000000,4182657075.207752,s,125000.000000,125000.000000
33389.551539,4193486218.321297,e,125000.000000,125117.857143
34342.000000,4312542275.924869,s,125000.000000,125000.000000
34447.000000,4325700275.924869,s,125000.000000,125314.285714
34447.000000,4325700275.924882,s,125000.000000,128000.000000
34447.000000,4325700275.924895,s,125000.000000,128000.000000
34447.000000,4325700275.924908,s,125000.000000,128000.000000
34457.876112,4327071112.776212,e,125000.000000,126041.071429
34541.821729,4337650883.822218,e,125000.000000,126031.250000
34548.327570,4338470247.970637,e,125000.000000,125942.857143
34621.000000,4347617111.473616,s,125000.000000,125864.285714
34718.251965,4359865301.836396,e,125000.000000,125942.857143
34868.653666,4378795504.428920,e,125000.000000,125864.285714
34983.727040,4393242966.602507,e,125000.000000,125550.000000
35167.000000,4416152086.580749,s,125000.000000,125000.000000
35167.000000,4416152086.580762,s,125000.000000,128000.000000
35219.628145,4422762651.441363,e,125000.000000,125608.928571
35798.000000,4495382918.319995,s,125000.000000,125559.821429
35798.000000,4495382918.320008,s,125000.000000,128000.000000
35798.000000,4495382918.320021,s,125000.000000,128000.000000
35803.269493,4496046211.026055,e,125000.000000,125874.107143
35861.224379,4503340661.380474,e,125000.000000,125864.285714
35894.000000,4507463366.275153,s,125000.000000,125785.714286
35894.000000,4507463366.275166,s,125000.000000,128000.000000
35894.000000,4507463366.275179,s,125000.000000,128000.000000
35960.850299,4515899098.116148,e,125000.000000,126188.392857
35976.000000,4517809177.780711,s,125000.000000,126080.357143
35976.000000,4517809177.780724,s,125000.000000,128000.000000
35976.000000,4517809177.780737,s,125000.000000,128000.000000
35984.951971,4518943912.064096,e,125000.000000,126758.035714
36017.028304,4523006379.626615,e,125000.000000,126650.000000
36045.959594,4526669390.908965,e,125000.000000,126610.714286
36072.352576,4530005063.172455,e,125000.000000,126384.821429
36121.000000,4536146192.411207,s,125000.000000,126237.500000
36258.474585,4553547897.261798,e,125000.000000,126581.250000
36291.229560,4557687950.558967,e,125000.000000,126394.642857
36348.587294,4564905550.748837,e,125000.000000,125834.821429
36450.000000,4577616999.673474,s,125000.000000,125343.750000
36471.615087,4580326952.648511,e,125000.000000,125373.214286
36591.885511,4595402098.557053,e,125000.000000,125343.750000
37212.000000,4672916409.690963,s,125000.000000,125000.000000
37212.000000,4672916409.690976,s,125000.000000,128000.000000
37212.000000,4672916409.690989,s,125000.000000,128000.000000
37326.241640,4687274033.752141,e,125000.000000,125677.678571
37368.379833,4692566967.061100,e,125000.000000,125608.928571
37391.000000,4695405151.744992,s,125000.000000,125471.428571
37533.000000,4713697667.816421,s,125000.000000,128820.535714
37533.000000,4713697667.816434,s,125000.000000,128000.000000
37582.000000,4720023830.316421,s,125000.000000,129105.357143
37582.000000,4720023830.316434,s,125000.000000,128000.000000
37683.707497,4733193770.682327,e,125000.000000,129488.392857
37701.548145,4735500948.682142,e,125000.000000,129321.428571
37811.458891,4749702889.110086,e,125000.000000,129213.392857
37829.881990,4752074715.097153,e,125000.000000,128741.964286
37909.000000,4762246536.169892,s,125000.000000,128565.178571
37909.000000,4762246536.169905,s,125000.000000,128000.000000
37954.532418,4768122779.229916,e,125000.000000,129056.250000
37980.594827,4771480664.729446,e,125000.000000,128840.178571
38140.000000,4792009062.155275,s,125000.000000,128781.250000
38140.000000,4792009062.155288,s,125000.000000,128000.000000
38140.000000,4792009062.155301,s,125000.000000,128000.000000
38175.576358,4796615787.558021,e,125000.000000,129488.392857
38278.059702,4809880151.879354,e,125000.000000,129429.464286
38317.000000,4814915201.956164,s,125000.000000,129301.785714
38449.383646,4832066448.854288,e,125000.000000,129557.142857
38637.000000,4856275826.657453,s,125000.000000,129036.607143
38682.893074,4862202671.293664,e,125000.000000,129144.642857
38718.000000,4866721371.521523,s,125000.000000,128712.500000
38723.232013,4867395773.361984,e,125000.000000,128899.107143
38736.605658,4869118179.410445,e,125000.000000,128791.071429
38819.000000,4879708794.996373,s,125000.000000,128535.714286
38819.000000,4879708794.996386,s,125000.000000,128000.000000
38819.000000,4879708794.996399,s,125000.000000,128000.000000
38965.000000,4898581119.996372,s,125000.000000,129262.500000
39002.520463,4903431845.881725,e,125000.000000,129282.142857
39002.898313,4903480687.632110,e,125000.000000,129262.499999
39012.887384,4904770722.759790,e,125000.000000,129144.642857
39091.953812,4914966973.928767,e,125000.000000,128958.035714
39164.323686,4924286146.046348,e,125000.000000,128771.428571
39169.000000,4924886346.729525,s,125000.000000,128349.107143
39201.249124,4929026443.241115,e,125000.000000,128378.571429
39350.000000,4948118485.319795,s,125000.000000,128349.107143
39436.459126,4959223928.422619,e,125000.000000,128447.321429
39441.000000,4959806745.591064,s,125000.000000,128349.107143
39479.000000,4964693342.019635,s,125000.000000,128594.642857
39541.000000,4972675952.733921,s,125000.000000,128751.785714
39541.000000,4972675952.733934,s,125000.000000,128000.000000
39607.257854,4981247766.855439,e,125000.000000,129370.535714
39636.215275,4984986893.773944,e,125000.000000,129125.000000
39763.834983,5001445734.064608,e,125000.000000,128967.857143
39847.000000,5012161546.498305,s,125000.000000,128850.000000
39847.000000,5012161546.498318,s,125000.000000,128000.000000
39847.000000,5012161546.498331,s,125000.000000,128000.000000
39847.000000,5012161546.498344,s,125000.000000,128000.000000
39862.658454,5014190211.063431,e,125000.000000,129557.142857
39961.482605,5026992615.105088,e,125000.000000,129547.321429
40126.000000,5048289245.006820,s,125000.000000,129449.107143
40126.000000,5048289245.006833,s,125000.000000,128000.000000
40160.652371,5052782110.492335,e,125000.000000,129655.357143
40214.904483,5059803399.471575,e,125000.000000,129419.642857
40221.441328,5060649010.433368,e,125000.000000,129360.714286
40221.441328,5060649010.442184,s,125000.000000,129213.249440
40298.364281,5070614172.952205,e,125000.000000,129547.321429
40298.364281,5070614172.959515,s,125000.000000,126193.818867
40373.000000,5080296957.997167,s,125000.000000,129733.928571
40391.454596,5082692051.436543,e,125000.000000,129783.035714
40391.454596,5082692051.488697,s,125000.000000,129282.987321
40391.454596,5082692051.488710,s,125000.000000,128000.000000
40428.380726,5087477908.666405,e,125000.000000,129606.250000
40453.945456,5090782720.762521,e,125000.000000,129272.321429
40536.000000,5101386072.641126,s,125000.000000,129223.214286
40536.000000,5101386072.641139,s,125000.000000,128000.000000
40573.947046,5106296047.686312,e,125000.000000,129390.178571
40579.727064,5107043811.669195,e,125000.000000,129370.535714
40586.463711,5107914409.021725,e,125000.000000,129233.035714
40705.454596,5123248721.919761,e,125000.000000,128869.642857
40721.004407,5125249718.760556,e,125000.000000,128683.035714
41640.000000,5243373473.775678,s,125000.000000,128535.714286
41640.000000,5243373473.775691,s,125000.000000,128000.000000
41720.325538,5253751820.137199,e,125000.000000,129203.571429
42277.000000,5325626942.729465,s,125000.000000,129115.178571
42344.000000,5334289504.336608,s,125000.000000,129291.964286
