job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
job_1,w0,profile_1,453.000000,5,1798.000000,1,COMPLETED_SUCCESSFULLY,453.000000,77.188485,530.188485,0.000000,77.188485,1.000000,190-194,100276.112184,""
job_2,w0,profile_2,1008.000000,8,3658.000000,1,COMPLETED_SUCCESSFULLY,1008.000000,108.773328,1116.773328,0.000000,108.773328,1.000000,190-197,226093.132705,""
job_3,w0,profile_3,2345.000000,2,2397.000000,1,COMPLETED_SUCCESSFULLY,2345.000000,37.463648,2382.463648,0.000000,37.463648,1.000000,190-191,19467.716990,""
job_4,w0,profile_4,2345.000000,10,2029.000000,1,COMPLETED_SUCCESSFULLY,2345.000000,168.124749,2513.124749,0.000000,168.124749,1.000000,192-201,436824.124875,""
job_6,w0,profile_6,3183.000000,2,4654.000000,1,COMPLETED_SUCCESSFULLY,3183.000000,17.002686,3200.002686,0.000000,17.002686,1.000000,200-201,8835.324457,""
job_0,w0,profile_0,0.000000,190,85789.000000,1,COMPLETED_SUCCESSFULLY,0.000000,3527.127490,3527.127490,0.000000,3527.127490,1.000000,0-189,174120427.601480,""
job_5,w0,profile_5,2345.000000,222,62768.000000,1,COMPLETED_SUCCESSFULLY,2345.000000,2056.619831,4401.619831,0.000000,2056.619831,1.000000,202-423,118626566.346551,""
job_8,w0,profile_8,7029.000000,1,6944.000000,1,COMPLETED_SUCCESSFULLY,7029.000000,16.533385,7045.533385,0.000000,16.533385,1.000000,60,4295.727662,""
job_7,w0,profile_7,7029.000000,60,41182.000000,1,COMPLETED_SUCCESSFULLY,7029.000000,916.992433,7945.992433,0.000000,916.992433,1.000000,0-59,14295257.038878,""
job_9,w0,profile_9,7951.000000,4,3756.000000,1,COMPLETED_SUCCESSFULLY,7951.000000,27.054140,7978.054140,0.000000,27.054140,1.000000,21-24,28116.981456,""
job_11,w0,profile_11,7951.000000,6,6299.000000,1,COMPLETED_SUCCESSFULLY,7951.000000,112.130234,8063.130234,0.000000,112.130234,1.000000,15-20,174803.025903,""
job_10,w0,profile_10,7951.000000,15,5563.000000,1,COMPLETED_SUCCESSFULLY,7951.000000,237.776235,8188.776235,0.000000,237.776235,1.000000,0-14,926690.415088,""
job_13,w0,profile_13,9778.000000,11,5204.000000,1,COMPLETED_SUCCESSFULLY,9778.000000,85.841076,9863.841076,0.000000,85.841076,1.000000,15-25,245336.860442,""
job_12,w0,profile_12,9778.000000,15,6620.000000,1,COMPLETED_SUCCESSFULLY,9778.000000,288.593919,10066.593919,0.000000,288.593919,1.000000,0-14,1124743.266606,""
job_14,w0,profile_14,9778.000000,34,24320.000000,1,COMPLETED_SUCCESSFULLY,9778.000000,393.232345,10171.232345,0.000000,393.232345,1.000000,26-59,3473786.450331,""
job_15,w0,profile_15,14499.000000,11,5210.000000,1,COMPLETED_SUCCESSFULLY,14499.000000,107.484651,14606.484651,0.000000,107.484651,1.000000,0-10,307194.971952,""
job_17,w0,profile_17,20612.000000,34,14346.000000,1,COMPLETED_SUCCESSFULLY,20612.000000,251.100503,20863.100503,0.000000,251.100503,1.000000,209-242,2218203.908922,""
job_18,w0,profile_18,21114.000000,8,1081.000000,1,COMPLETED_SUCCESSFULLY,21114.000000,74.059546,21188.059546,0.000000,74.059546,1.000000,209-216,153938.055986,""
job_19,w0,profile_19,22171.000000,6,7136.000000,1,COMPLETED_SUCCESSFULLY,22171.000000,51.215021,22222.215021,0.000000,51.215021,1.000000,209-214,79840.559278,""
job_16,w0,profile_16,20370.000000,209,80598.000000,1,COMPLETED_SUCCESSFULLY,20370.000000,3338.231330,23708.231330,0.000000,3338.231330,1.000000,0-208,181274902.898006,""
job_21,w0,profile_21,24283.000000,10,1820.000000,1,COMPLETED_SUCCESSFULLY,24283.000000,51.233001,24334.233001,0.000000,51.233001,1.000000,23-32,133114.315569,""
job_20,w0,profile_20,24283.000000,23,21065.000000,1,COMPLETED_SUCCESSFULLY,24283.000000,357.534934,24640.534934,0.000000,357.534934,1.000000,0-22,2136590.460980,""
job_22,w0,profile_22,25682.000000,19,2082.000000,1,COMPLETED_SUCCESSFULLY,25682.000000,293.187422,25975.187422,0.000000,293.187422,1.000000,0-18,1447351.122747,""
job_23,w0,profile_23,26934.000000,10,3883.000000,1,COMPLETED_SUCCESSFULLY,26934.000000,63.387281,26997.387281,0.000000,63.387281,1.000000,0-9,164693.737761,""
job_24,w0,profile_24,27268.000000,15,5772.000000,1,COMPLETED_SUCCESSFULLY,27268.000000,286.798061,27554.798061,0.000000,286.798061,1.000000,0-14,1117744.227267,""
job_25,w0,profile_25,27720.000000,39,12942.000000,1,COMPLETED_SUCCESSFULLY,27720.000000,424.155792,28144.155792,0.000000,424.155792,1.000000,0-38,4297985.784511,""
job_26,w0,profile_26,28397.000000,25,26523.000000,1,COMPLETED_SUCCESSFULLY,28397.000000,205.772096,28602.772096,0.000000,205.772096,1.000000,0-24,1336599.995631,""
job_28,w0,profile_28,29268.000000,4,6049.000000,1,COMPLETED_SUCCESSFULLY,29268.000000,28.179882,29296.179882,0.000000,28.179882,1.000000,6-9,29286.948385,""
job_27,w0,profile_27,29268.000000,6,5407.000000,1,COMPLETED_SUCCESSFULLY,29268.000000,109.280592,29377.280592,0.000000,109.280592,1.000000,0-5,170360.636786,""
job_32,w0,profile_32,29817.000000,1,3726.000000,1,COMPLETED_SUCCESSFULLY,29817.000000,12.610258,29829.610258,0.000000,12.610258,1.000000,0,3276.415232,""
job_29,w0,profile_29,29268.000000,50,34623.000000,1,COMPLETED_SUCCESSFULLY,29268.000000,574.147493,29842.147493,0.000000,574.147493,1.000000,10-59,7458791.090089,""
job_30,w0,profile_30,29592.000000,17,1804.000000,1,COMPLETED_SUCCESSFULLY,29592.000000,309.704201,29901.704201,0.000000,309.704201,1.000000,60-76,1367952.393968,""
job_31,w0,profile_31,29817.000000,18,1068.000000,1,COMPLETED_SUCCESSFULLY,29817.000000,114.468908,29931.468908,0.000000,114.468908,1.000000,77-94,535346.553475,""
job_33,w0,profile_33,30152.000000,7,3831.000000,1,COMPLETED_SUCCESSFULLY,30152.000000,36.069044,30188.069044,0.000000,36.069044,1.000000,493-499,65600.573486,""
job_34,w0,profile_34,30701.000000,14,1314.000000,1,COMPLETED_SUCCESSFULLY,30701.000000,72.508848,30773.508848,0.000000,72.508848,1.000000,486-499,263750.933343,""
job_35,w0,profile_35,30701.000000,26,23048.000000,1,COMPLETED_SUCCESSFULLY,30701.000000,399.741808,31100.741808,0.000000,399.741808,1.000000,460-485,2700398.677696,""
job_37,w0,profile_37,32978.000000,9,6673.000000,1,COMPLETED_SUCCESSFULLY,32978.000000,96.775548,33074.775548,0.000000,96.775548,1.000000,475-483,226299.251168,""
job_36,w0,profile_36,32978.000000,16,3945.000000,1,COMPLETED_SUCCESSFULLY,32978.000000,309.812639,33287.812639,0.000000,309.812639,1.000000,484-499,1287935.400072,""
job_38,w0,profile_38,33125.000000,17,2084.000000,1,COMPLETED_SUCCESSFULLY,33125.000000,166.885825,33291.885825,0.000000,166.885825,1.000000,467-483,737128.729813,""
job_39,w0,profile_39,33303.000000,12,6459.000000,1,COMPLETED_SUCCESSFULLY,33303.000000,86.551539,33389.551539,0.000000,86.551539,1.000000,488-499,269855.334631,""
job_41,w0,profile_41,34447.000000,1,5756.000000,1,COMPLETED_SUCCESSFULLY,34447.000000,10.876112,34457.876112,0.000000,10.876112,1.000000,467,2825.847043,""
job_44,w0,profile_44,34447.000000,9,7026.000000,1,COMPLETED_SUCCESSFULLY,34447.000000,94.821729,34541.821729,0.000000,94.821729,1.000000,394-402,221730.454636,""
job_42,w0,profile_42,34447.000000,8,3271.000000,1,COMPLETED_SUCCESSFULLY,34447.000000,101.327570,34548.327570,0.000000,101.327570,1.000000,459-466,210616.591765,""
job_45,w0,profile_45,34621.000000,8,1719.000000,1,COMPLETED_SUCCESSFULLY,34621.000000,97.251965,34718.251965,0.000000,97.251965,1.000000,395-402,202145.156282,""
job_40,w0,profile_40,34342.000000,32,16476.000000,1,COMPLETED_SUCCESSFULLY,34342.000000,526.653666,34868.653666,0.000000,526.653666,1.000000,468-499,4378749.048551,""
job_43,w0,profile_43,34447.000000,56,25853.000000,1,COMPLETED_SUCCESSFULLY,34447.000000,536.727040,34983.727040,0.000000,536.727040,1.000000,403-458,7809378.434530,""
job_47,w0,profile_47,35167.000000,5,2718.000000,1,COMPLETED_SUCCESSFULLY,35167.000000,52.628145,35219.628145,0.000000,52.628145,1.000000,438-442,68369.598614,""
job_50,w0,profile_50,35798.000000,1,3127.000000,1,COMPLETED_SUCCESSFULLY,35798.000000,5.269493,35803.269493,0.000000,5.269493,1.000000,411,1369.127157,""
job_49,w0,profile_49,35798.000000,8,5758.000000,1,COMPLETED_SUCCESSFULLY,35798.000000,63.224379,35861.224379,0.000000,63.224379,1.000000,412-419,131416.387844,""
job_53,w0,profile_53,35894.000000,11,1893.000000,1,COMPLETED_SUCCESSFULLY,35894.000000,66.850299,35960.850299,0.000000,66.850299,1.000000,379-389,191060.543143,""
job_52,w0,profile_52,35894.000000,11,1379.000000,1,COMPLETED_SUCCESSFULLY,35894.000000,90.951971,35984.951971,0.000000,90.951971,1.000000,390-400,259943.981936,""
job_55,w0,profile_55,35976.000000,4,2263.000000,1,COMPLETED_SUCCESSFULLY,35976.000000,41.028304,36017.028304,0.000000,41.028304,1.000000,371-374,42640.130324,""
job_48,w0,profile_48,35798.000000,23,22423.000000,1,COMPLETED_SUCCESSFULLY,35798.000000,247.959594,36045.959594,0.000000,247.959594,1.000000,420-442,1481779.966736,""
job_54,w0,profile_54,35976.000000,15,664.000000,1,COMPLETED_SUCCESSFULLY,35976.000000,96.352576,36072.352576,0.000000,96.352576,1.000000,375-389,375516.957551,""
job_51,w0,profile_51,35894.000000,19,2754.000000,1,COMPLETED_SUCCESSFULLY,35894.000000,364.474585,36258.474585,0.000000,364.474585,1.000000,401-419,1799267.841185,""
job_46,w0,profile_46,35167.000000,57,30219.000000,1,COMPLETED_SUCCESSFULLY,35167.000000,1124.229560,36291.229560,0.000000,1124.229560,1.000000,443-499,16649639.024602,""
job_56,w0,profile_56,35976.000000,50,31176.000000,1,COMPLETED_SUCCESSFULLY,35976.000000,372.587294,36348.587294,0.000000,372.587294,1.000000,321-370,4840308.143827,""
job_58,w0,profile_58,36450.000000,3,5193.000000,1,COMPLETED_SUCCESSFULLY,36450.000000,21.615087,36471.615087,0.000000,21.615087,1.000000,283-285,16848.188603,""
job_57,w0,profile_57,36121.000000,35,30676.000000,1,COMPLETED_SUCCESSFULLY,36121.000000,470.885511,36591.885511,0.000000,470.885511,1.000000,286-320,4282115.115008,""
job_61,w0,profile_61,37212.000000,7,3888.000000,1,COMPLETED_SUCCESSFULLY,37212.000000,114.241640,37326.241640,0.000000,114.241640,1.000000,431-437,207776.982023,""
job_59,w0,profile_59,37212.000000,14,5141.000000,1,COMPLETED_SUCCESSFULLY,37212.000000,156.379833,37368.379833,0.000000,156.379833,1.000000,486-499,568831.642077,""
job_65,w0,profile_65,37582.000000,17,5620.000000,1,COMPLETED_SUCCESSFULLY,37582.000000,101.707497,37683.707497,0.000000,101.707497,1.000000,51-67,449238.383130,""
job_64,w0,profile_64,37533.000000,11,828.000000,1,COMPLETED_SUCCESSFULLY,37533.000000,168.548145,37701.548145,0.000000,168.548145,1.000000,68-78,481716.616917,""
job_60,w0,profile_60,37212.000000,48,11880.000000,1,COMPLETED_SUCCESSFULLY,37212.000000,599.458891,37811.458891,0.000000,599.458891,1.000000,438-485,7476108.738440,""
