time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
4e-10,0,0,0,310,190
453,0,0,0,305,195
530.188,0,0,0,310,190
1008,0,0,0,302,198
1116.77,0,0,0,310,190
2345,0,0,0,308,192
2345,0,0,0,298,202
2345,0,0,0,76,424
2382.46,0,0,0,78,422
2513.12,0,0,0,88,412
3183,0,0,0,86,414
3200,0,0,0,88,412
3527.13,0,0,0,278,222
4401.62,0,0,0,500,0
7029,0,0,0,440,60
7029,0,0,0,439,61
7045.53,0,0,0,440,60
7945.99,0,0,0,500,0
7951,0,0,0,485,15
7951,0,0,0,479,21
7951,0,0,0,475,25
7978.05,0,0,0,479,21
8063.13,0,0,0,485,15
8188.78,0,0,0,500,0
9778,0,0,0,485,15
9778,0,0,0,474,26
9778,0,0,0,440,60
9863.84,0,0,0,451,49
10066.6,0,0,0,466,34
10171.2,0,0,0,500,0
14499,0,0,0,489,11
14606.5,0,0,0,500,0
20370,0,0,0,291,209
20612,0,0,0,257,243
20863.1,0,0,0,291,209
21114,0,0,0,283,217
21188.1,0,0,0,291,209
22171,0,0,0,285,215
22222.2,0,0,0,291,209
23708.2,0,0,0,500,0
24283,0,0,0,477,23
24283,0,0,0,467,33
24334.2,0,0,0,477,23
24640.5,0,0,0,500,0
25682,0,0,0,481,19
25975.2,0,0,0,500,0
26934,0,0,0,490,10
26997.4,0,0,0,500,0
27268,0,0,0,485,15
27554.8,0,0,0,500,0
27720,0,0,0,461,39
28144.2,0,0,0,500,0
28397,0,0,0,475,25
28602.8,0,0,0,500,0
29268,0,0,0,494,6
29268,0,0,0,490,10
29268,0,0,0,440,60
29296.2,0,0,0,444,56
29377.3,0,0,0,450,50
29592,0,0,0,433,67
29817,0,0,0,415,85
29817,0,0,0,414,86
29829.6,0,0,0,415,85
29842.1,0,0,0,465,35
29901.7,0,0,0,482,18
29931.5,0,0,0,500,0
30152,0,0,0,493,7
30188.1,0,0,0,500,0
30701,0,0,0,486,14
30701,0,0,0,460,40
30773.5,0,0,0,474,26
31100.7,0,0,0,500,0
32978,0,0,0,484,16
32978,0,0,0,475,25
33074.8,0,0,0,484,16
33125,0,0,0,467,33
33287.8,0,0,0,483,17
33291.9,0,0,0,500,0
33303,0,0,0,488,12
33389.6,0,0,0,500,0
34342,0,0,0,468,32
34447,0,0,0,467,33
34447,0,0,0,459,41
34447,0,0,0,403,97
34447,0,0,0,394,106
34457.9,0,0,0,395,105
34541.8,0,0,0,404,96
34548.3,0,0,0,412,88
34621,0,0,0,404,96
34718.3,0,0,0,412,88
34868.7,0,0,0,444,56
34983.7,0,0,0,500,0
35167,0,0,0,443,57
35167,0,0,0,438,62
35219.6,0,0,0,443,57
35798,0,0,0,420,80
35798,0,0,0,412,88
35798,0,0,0,411,89
35803.3,0,0,0,412,88
35861.2,0,0,0,420,80
35894,0,0,0,401,99
35894,0,0,0,390,110
35894,0,0,0,379,121
35960.9,0,0,0,390,110
35976,0,0,0,375,125
35976,0,0,0,371,129
35976,0,0,0,321,179
35985,0,0,0,332,168
36017,0,0,0,336,164
36046,0,0,0,359,141
36072.4,0,0,0,374,126
36121,0,0,0,339,161
36258.5,0,0,0,358,142
36291.2,0,0,0,415,85
36348.6,0,0,0,465,35
36450,0,0,0,462,38
36471.6,0,0,0,465,35
36591.9,0,0,0,500,0
37212,0,0,0,486,14
37212,0,0,0,438,62
37212,0,0,0,431,69
37326.2,0,0,0,438,62
37368.4,0,0,0,452,48
37391,0,0,0,111,389
37533,0,0,0,93,407
37533,0,0,0,82,418
37582,0,0,0,65,435
37582,0,0,0,43,457
37683.7,0,0,0,60,440
37701.5,0,0,0,71,429
37811.5,0,0,0,119,381
37829.9,0,0,0,137,363
37909,0,0,0,93,407
37909,0,0,0,87,413
37954.5,0,0,0,109,391
37980.6,0,0,0,115,385
38140,0,0,0,102,398
38140,0,0,0,49,451
38140,0,0,0,43,457
38175.6,0,0,0,49,451
38278.1,0,0,0,62,438
38317,0,0,0,36,464
38449.4,0,0,0,89,411
38637,0,0,0,78,422
38682.9,0,0,0,122,378
38718,0,0,0,103,397
38723.2,0,0,0,114,386
38736.6,0,0,0,140,360
38819,0,0,0,97,403
38819,0,0,0,78,422
38819,0,0,0,66,434
38965,0,0,0,64,436
39002.5,0,0,0,66,434
39002.9,0,0,0,78,422
39012.9,0,0,0,97,403
39092,0,0,0,116,384
39164.3,0,0,0,159,341
39169,0,0,0,156,344
39201.2,0,0,0,159,341
39350,0,0,0,149,351
39436.5,0,0,0,159,341
39441,0,0,0,134,366
39479,0,0,0,118,382
39541,0,0,0,106,394
39541,0,0,0,55,445
39607.3,0,0,0,80,420
39636.2,0,0,0,96,404
39763.8,0,0,0,108,392
39847,0,0,0,84,416
39847,0,0,0,47,453
39847,0,0,0,37,463
39847,0,0,0,36,464
39862.7,0,0,0,37,463
39961.5,0,0,0,47,453
40126,0,0,0,41,459
40126,0,0,0,26,474
40160.7,0,0,0,50,450
40214.9,0,0,0,56,444
40221.4,0,0,0,71,429
40221.4,0,0,0,37,463
40298.4,0,0,0,378,122
40298.4,0,0,0,18,482
40373,0,0,0,13,487
40391.5,0,0,0,64,436
40391.5,0,0,0,45,455
40391.5,0,0,0,31,469
40428.4,0,0,0,65,435
40453.9,0,0,0,70,430
40536,0,0,0,68,432
40536,0,0,0,53,447
40573.9,0,0,0,55,445
40579.7,0,0,0,69,431
40586.5,0,0,0,106,394
40705.5,0,0,0,125,375
40721,0,0,0,140,360
41640,0,0,0,131,369
41640,0,0,0,72,428
41720.3,0,0,0,81,419
42277,0,0,0,63,437
42344,0,0,0,56,444
42404.7,0,0,0,74,426
42454.1,0,0,0,133,367
42459.1,0,0,0,140,360
42916,0,0,0,100,400
43063,0,0,0,84,416
43063,0,0,0,71,429
43167.4,0,0,0,87,413
43180.4,0,0,0,100,400
43225.1,0,0,0,140,360
43230,0,0,0,138,362
43256.2,0,0,0,140,360
44090,0,0,0,108,392
44090,0,0,0,103,397
44090,0,0,0,100,400
44090,0,0,0,45,455
44143.8,0,0,0,48,452
44178.5,0,0,0,53,447
44590,0,0,0,22,478
44603,0,0,0,54,446
44973,0,0,0,85,415
44973,0,0,0,26,474
45186.6,0,0,0,81,419
45186.6,0,0,0,29,471
45710,0,0,0,12,488
45710,0,0,0,11,489
45710,0,0,0,10,490
45722.6,0,0,0,11,489
45729.6,0,0,0,12,488
45841,0,0,0,71,429
45841,0,0,0,27,473
45881.7,0,0,0,44,456
45881.7,0,0,0,25,475
